frame_start,frame_end,duration_frames,qc_type,reason,source_file,raw_marker_or_region,related_joint_family,candidate_layer2_links,candidate_mapping_level,mapping_status,included_in_review
14324,14324,1,artifact_sigma,velocity_mad,artifact_events.csv,671:WaistRFront,pelvis_hip,J001 Root->671; J002 671->Ab; J022 671->LThigh; J046 671->RThigh,bone_adjacency_candidate,mapped,True
14327,14327,1,artifact_sigma,velocity_mad,artifact_events.csv,671:WaistRFront,pelvis_hip,J001 Root->671; J002 671->Ab; J022 671->LThigh; J046 671->RThigh,bone_adjacency_candidate,mapped,True
14380,14473,94,gap_0p5,marker_gap,gaps_over_0p5s.csv,671:LFArm,left_shoulder_arm,J005 LUArm->LFArm; J007 LFArm->LHand,bone_adjacency_candidate,mapped,True
14388,14411,24,gap_0p2,marker_gap,gaps_over_0p2s.csv,671:RFArm,right_shoulder_arm,J029 RUArm->RFArm; J031 RFArm->RHand,bone_adjacency_candidate,mapped,True
14416,14416,1,artifact_sigma,velocity_mad,artifact_events.csv,671:ChestTop,trunk_chest,J003 Ab->Chest; J021 Chest->LShoulder; J028 Chest->Neck; J045 Chest->RShoulder,bone_adjacency_candidate,mapped,True
14587,14610,24,gap_0p2,marker_gap,gaps_over_0p2s.csv,671:RHandIn,right_wrist_hand,J031 RFArm->RHand; J032 RHand->RIndex1; J035 RHand->RMiddle1; J038 RHand->RPinky1; J041 RHand->RRing1; J047 RHand->RThumb1,bone_adjacency_candidate,mapped,True
14604,14608,5,segment_swap,segment_length_violation,artifact_events.csv,LHandIn__LWristOut,left_wrist_hand,J001 Root->671; J002 671->Ab; J003 Ab->Chest; J005 LUArm->LFArm; J007 LFArm->LHand; J008 LHand->LIndex1; J011 LHand->LMiddle1; J014 LHand->LPinky1; J017 LHand->LRing1; J021 Chest->LShoulder; J022 671->LThigh; J023 LHand->LThumb1; J027 LShoulder->LUArm; J028 Chest->Neck; J045 Chest->RShoulder; J046 671->RThigh,segment_pair_regional,mapped,True
14609,14609,1,artifact_sigma,velocity_mad,artifact_events.csv,671:LWristOut,left_wrist_hand,J005 LUArm->LFArm; J007 LFArm->LHand,bone_adjacency_candidate,mapped,True
14735,14736,2,segment_swap,segment_length_violation,artifact_events.csv,RHandIn__RWristOut,right_wrist_hand,J001 Root->671; J002 671->Ab; J003 Ab->Chest; J021 Chest->LShoulder; J022 671->LThigh; J028 Chest->Neck; J029 RUArm->RFArm; J031 RFArm->RHand; J032 RHand->RIndex1; J035 RHand->RMiddle1; J038 RHand->RPinky1; J041 RHand->RRing1; J045 Chest->RShoulder; J046 671->RThigh; J047 RHand->RThumb1; J051 RShoulder->RUArm,segment_pair_regional,mapped,True
15032,15032,1,artifact_sigma,velocity_mad,artifact_events.csv,671:LHandIn,left_wrist_hand,J007 LFArm->LHand; J008 LHand->LIndex1; J011 LHand->LMiddle1; J014 LHand->LPinky1; J017 LHand->LRing1; J023 LHand->LThumb1,bone_adjacency_candidate,mapped,True
15050,15085,36,gap_0p2,marker_gap,gaps_over_0p2s.csv,671:RFArm,right_shoulder_arm,J029 RUArm->RFArm; J031 RFArm->RHand,bone_adjacency_candidate,mapped,True
15108,15134,27,gap_0p2,marker_gap,gaps_over_0p2s.csv,671:RHandIn,right_wrist_hand,J031 RFArm->RHand; J032 RHand->RIndex1; J035 RHand->RMiddle1; J038 RHand->RPinky1; J041 RHand->RRing1; J047 RHand->RThumb1,bone_adjacency_candidate,mapped,True
15193,15240,48,gap_0p5,marker_gap,gaps_over_0p5s.csv,671:LHandIn,left_wrist_hand,J007 LFArm->LHand; J008 LHand->LIndex1; J011 LHand->LMiddle1; J014 LHand->LPinky1; J017 LHand->LRing1; J023 LHand->LThumb1,bone_adjacency_candidate,mapped,True
