link_id,finite_raw_frames,filter_applied_frames,native_finite_filtered_frames,analysis_finite_filtered_frames,jump_context_frames,analysis_eligible_frames,stage08_filter_status
J001,31674,31674,31674,0,0,0,provisional_manual_review
J002,31674,31674,31674,0,0,0,provisional_manual_review
J003,31674,31674,31674,31674,0,31674,pass
J004,31674,31674,31674,0,61,0,blocked_needs_review
J005,31674,31674,31674,31674,0,31674,pass
J006,31674,31674,31674,0,61,0,blocked_needs_review
J007,31674,31674,31674,0,122,0,excluded_from_analysis
J008,31674,31674,31674,0,122,0,excluded_from_analysis
J009,31674,31674,31674,0,61,0,excluded_from_analysis
J010,31674,31674,31674,0,61,0,excluded_from_analysis
J011,31674,31674,31674,0,122,0,excluded_from_analysis
J012,31674,31674,31674,0,61,0,excluded_from_analysis
J013,31674,31674,31674,0,0,0,excluded_from_analysis
J014,31674,31674,31674,0,0,0,excluded_from_analysis
J015,31674,31674,31674,0,0,0,excluded_from_analysis
J016,31674,31674,31674,0,0,0,excluded_from_analysis
J017,31674,31674,31674,0,61,0,excluded_from_analysis
J018,31674,31674,31674,0,0,0,excluded_from_analysis
J019,31674,31674,31674,31674,0,31674,pass
J020,31674,31674,31674,31674,0,31674,pass
J021,31674,31674,31674,31674,0,31674,pass
J022,31674,31674,31674,0,61,0,excluded_from_analysis
J023,31674,31674,31674,0,0,0,excluded_from_analysis
J024,31674,31674,31674,0,0,0,excluded_from_analysis
J025,31674,31674,31674,0,0,0,excluded_from_analysis
J026,31674,31674,31674,31674,0,31674,pass
J027,31674,31674,31674,31674,0,31674,pass
J028,31674,31674,31674,0,0,0,provisional_manual_review
J029,31674,31674,31674,31674,0,31674,pass
J030,31674,31674,31674,31674,0,31674,pass
J031,31674,31674,31674,0,122,0,blocked_needs_review
J032,31674,31674,31674,0,0,0,excluded_from_analysis
J033,31674,31674,31674,0,0,0,excluded_from_analysis
J034,31674,31674,31674,0,0,0,excluded_from_analysis
J035,31674,31674,31674,0,0,0,excluded_from_analysis
J036,31674,31674,31674,0,61,0,excluded_from_analysis
J037,31674,31674,31674,0,0,0,excluded_from_analysis
J038,31674,31674,31674,0,122,0,excluded_from_analysis
J039,31674,31674,31674,0,61,0,excluded_from_analysis
J040,31674,31674,31674,0,61,0,excluded_from_analysis
J041,31674,31674,31674,0,122,0,excluded_from_analysis
J042,31674,31674,31674,0,61,0,excluded_from_analysis
J043,31674,31674,31674,0,0,0,excluded_from_analysis
J044,31674,31674,31674,31674,0,31674,pass
J045,31674,31674,31674,31674,0,31674,pass
J046,31674,31674,31674,31674,0,31674,pass
J047,31674,31674,31674,0,0,0,excluded_from_analysis
J048,31674,31674,31674,0,0,0,excluded_from_analysis
J049,31674,31674,31674,0,0,0,excluded_from_analysis
J050,31674,31674,31674,0,0,0,excluded_from_analysis
J051,31674,31674,31674,31674,0,31674,pass
J052,31674,31674,31674,0,0,0,provisional_manual_review
J053,31674,31674,31674,0,0,0,provisional_manual_review
J054,31674,31674,31674,0,0,0,provisional_manual_review
